project	donor_id	file_id	object_id	bundle_id	file_name
ESAD-UK	DO227920	FI811138	5d556a36-258f-5eb4-91a0-18d3a03616a8	EGAR00001193108	f4cc1cba451575cb5ef18cf8b95303f0.LP6005689-DNA_D03.bam
ESAD-UK	DO228973	FI811148	7bac03c7-c5ed-5671-8911-647b94a85231	EGAR00001500333	293d585a14f245687165e24fc484591b.LP6008280-DNA_B03.bam
ESAD-UK	DO10841	FI811177	9de0f0cf-2068-52a1-a073-1107e8bab7b1	EGAR00001131281	30278781e61b56603c71f64ed3fadcdd.SS6003113.bam
ESAD-UK	DO227823	FI808276	28648c5f-b2ce-542c-9324-ea472d7a273b	EGAR00001193178	81e3e69461afbb0fb507617889eee3d3.LP6007398-DNA_A01.bam
ESAD-UK	DO10855	FI808275	e172c8a3-7e2e-5e12-a432-511f2f563f0c	EGAR00001141757	8da1ab92aac4e7c9f420c3deb78fb0fb.SS6003317.bam
ESAD-UK	DO50336	FI807423	322a84c8-602c-572c-b99b-6d9b54cb1ded	EGAR00001223846	d8e7325e7fc9df1f6ed48017caa72aed.LP6007413-DNA_A02.bam
ESAD-UK	DO229478	FI811306	74e82226-bd14-5dbe-98ed-a8f4e501b575	EGAR00001500343	2e811b307a8d990b0b1eef1ccdee0329.LP6008264-DNA_B02.bam
ESAD-UK	DO50330	FI811333	4728858e-f5e4-5b4e-a52c-3b668c8ca1b9	EGAR00001193706	1615fd7f4c618d27d4e7558960571461.LP6007569-DNA_A01.bam
ESAD-UK	DO227856	FI811332	75b02d21-5a0a-504d-acdb-1ee048432ea9	EGAR00001193177	1d902f7ca367ef0f8c13b86a19bc6450.LP6007396-DNA_A01.bam
ESAD-UK	DO50451	FI811260	bfdbfa2c-1622-543a-9a81-c4b716b2abaf	EGAR00001202514	49207c54ae6e0f646af1d4fe1f6979ba.LP6005500-DNA_H03.bam
ESAD-UK	DO50311	FI811219	32480b66-f02d-5113-8bb3-0901928d521a	EGAR00001219068	32d7db0bfeec93ae0f65ad0512f3ae27.LP6005334-DNA_C03.bam
ESAD-UK	DO50450	FI811255	fce5401d-6790-51f9-9225-110f504750fa	EGAR00001202512	17a657d517fa9828dcf7be680e79ee73.LP6005500-DNA_E03.bam
ESAD-UK	DO227810	FI811248	e96bb264-7b6f-5eb9-a7fd-a7a336a412e0	EGAR00001193678	034dc23473fd4355854e12691b1284c3.LP6007358-DNA_A01.bam
ESAD-UK	DO50438	FI811202	8a77afb7-ae77-5e57-b8b9-60f1990d35b8	EGAR00001202537	d07e8d9bbf4ebca1400495cc23353b92.LP6005499-DNA_G03.bam
ESAD-UK	DO50383	FI811207	3bc4f86d-2ddd-547a-a41e-c22552489f64	EGAR00001193092	eb9218e3c4fc8563cd6c9820aabeb397.LP6005689-DNA_C01.bam
ESAD-UK	DO229414	FI811144	8538e30e-8d99-5c2d-8457-a0527f9d506b	EGAR00001566509	b42e4bf76a42897e9a50d4ac94c35ac3.LP6008269-DNA_C09.bam
ESAD-UK	DO50387	FI811136	35b3915c-8b28-5edd-8ae6-f54559f48748	EGAR00001219079	c0cb7bcef21c9061a52218574a5ac18a.LP6005333-DNA_G01.bam
ESAD-UK	DO228675	FI811133	73262847-3990-5172-ad1c-5f5588cda0a7	EGAR00001253327	39bfcd54b064a17d505669699c966aa9.LP6005979-DNA_A01.bam
ESAD-UK	DO50326	FI811338	4bb821a4-1a6c-5b52-9420-128c03122de7	EGAR00001180012	862d4e2907075f68b2090a7c77517956.LP6007590.bam
ESAD-UK	DO227762	FI811353	1eb19091-dba0-5be7-a10b-f9758026f727	EGAR00001192982	02a59233c6dd3e2ac7b34080e73e69d1.LP6005409-DNA_B04.bam
ESAD-UK	DO50407	FI811268	21b378ed-c0b3-59e8-8494-c6ed88a3ff26	EGAR00001219066	a1c1854a1e53858ebd70b95b7871520d.LP6005334-DNA_F02.bam
ESAD-UK	DO10854	FI811279	b3ef16f3-f1a9-517c-a815-51a4c24e4558	EGAR00001131290	d65b28f2dae51daa783cc3ffb4e9ef09.SS6003313.bam
ESAD-UK	DO50349	FI811221	a478d2cb-0816-5669-b63a-1b4fcb7bf9af	EGAR00001192954	a0929247427c7536fd64a33e35d41079.LP6005408-DNA_E02.bam
ESAD-UK	DO50330	FI807590	284d7896-ea32-5848-97ab-c9b49efebe88	EGAR00001193687	3cbf03edcf025562f25f6b13a3ab58e0.LP6007544-DNA_A01.bam
ESAD-UK	DO227552	FI807422	fdb9e277-9108-5788-a002-3a401c950430	EGAR00001192957	c446a34d9c4b3ed0a0e6c524e551a8ac.LP6005408-DNA_H02.bam
ESAD-UK	DO227888	FI808269	f0119f19-ad9b-5709-867e-0f4008a42b5a	EGAR00001193176	72ac4f8e732a87328fd5d77cc1ba0755.LP6007394-DNA_A01.bam
ESAD-UK	DO10850	FI808270	b5763214-d421-54e4-a518-f9c11ba3c085	EGAR00001141756	a8ac39c5eafddd28ad191940fb49fab3.SS6003302.bam
ESAD-UK	DO50439	FI811316	c6400718-19a1-5ec6-814b-fb204bd8a688	EGAR00001202509	3eb80f78f82af969762ee174c024c77a.LP6005500-DNA_B03.bam
ESAD-UK	DO219119	FI811239	c2572bae-53ab-5743-bd82-0b8461e8efa0	EGAR00001193699	36ab885f985a76716943afb373450e75.LP6007528-DNA_A01.bam
ESAD-UK	DO227498	FI811211	1fcfa261-8f4a-5967-ae40-894136f59bb7	EGAR00001325046	df85b18ee9f82a31e297cc9cacfed3be.LP6008031-DNA_D02.bam
ESAD-UK	DO229522	FI811208	1c055734-6c29-570a-b5ae-ff2106ecd522	EGAR00001325017	6571e040b74c04cfcf5fcdb804b9d31b.LP6008032-DNA_A02.bam
ESAD-UK	DO50441	FI811145	03c9c3fb-9de5-5453-b419-19fdee1e191a	EGAR00001253322	e260195a744cb08d8ab60f1263e47025.LP6005935-DNA_D01.bam
ESAD-UK	DO227893	FI811151	0efa57c7-9781-55ba-94c3-8a17132ecfbc	EGAR00001193664	466d51df4f668797dbaf9a13660cca96.LP6007506-DNA_A01.bam
ESAD-UK	DO50454	FI811149	38affa0a-d5d4-54ec-a516-b537a2c59e04	EGAR00001202528	38d19b939df76d73b64d4ff3af792eed.LP6005499-DNA_F02.bam
ESAD-UK	DO229468	FI811165	3054a403-3b56-56bb-9be8-d6d7c163a3f8	EGAR00001436352	2122b8bfb24e153be88c5974af39d4c9.LP6008221-DNA_B02.bam
